system:index,Name,OBJECTID,blue,green,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,.geo
1_2_LE07_119038_20000520_00003df56065d95e53df_0,Changshu1,1,653,976,31.67444365,120.7658911,0.4227072,0.48763922,2738,66,943,1737,1111,
1_1_LT05_119038_20000528_00003df56065d95e53df_0,Changshu1,1,1284,1465,31.67444365,120.7658911,0.25212464,0.24955024,2431,66,1460,2193,1452,
1_2_LE07_119038_20000605_00003df56065d95e53df_0,Changshu1,1,1198,1355,31.67444365,120.7658911,0.19374704,0.29529685,2520,66,1371,2476,1702,
1_1_LT05_119038_20000613_00003df56065d95e53df_0,Changshu1,1,663,974,31.67444365,120.7658911,0.22036363,0.41962776,2517,66,1029,2296,1608,
1_2_LE07_119038_20000707_00003df56065d95e53df_0,Changshu1,1,840,940,31.67444365,120.7658911,0.4784264,0.50128865,2330,66,774,1416,822,
1_1_LT05_119038_20000715_00003df56065d95e53df_0,Changshu1,1,544,807,31.67444365,120.7658911,0.56496686,0.5790698,2716,66,724,1533,755,
1_2_LE07_119038_20000723_00003df56065d95e53df_0,Changshu1,1,772,982,31.67444365,120.7658911,0.5558893,0.6151448,3626,66,864,1836,1035,
1_1_LT05_119038_20000731_00003df56065d95e53df_0,Changshu1,1,672,847,31.67444365,120.7658911,0.5549763,0.63722557,3281,66,727,1849,939,
1_2_LE07_119038_20000808_00003df56065d95e53df_0,Changshu1,1,357,611,31.67444365,120.7658911,0.58851266,0.75059044,3706,66,528,1910,960,
1_1_LT05_119038_20000901_00003df56065d95e53df_0,Changshu1,1,919,1062,31.67444365,120.7658911,0.55296046,0.5961255,3790,66,959,1932,1091,
1_1_LT05_119038_20000917_00003df56065d95e53df_0,Changshu1,1,906,955,31.67444365,120.7658911,0.50213444,0.5171113,2815,66,896,1560,933,
1_2_LE07_119038_20001011_00003df56065d95e53df_0,Changshu1,1,683,891,31.67444365,120.7658911,0.5109509,0.5452226,2725,66,802,1627,882,
1_1_LT05_119038_20001104_00003df56065d95e53df_0,Changshu1,1,864,1127,31.67444365,120.7658911,0.22266139,0.33833286,2320,66,1147,2210,1475,
1_2_LE07_119038_20001128_00003df56065d95e53df_0,Changshu1,1,633,878,31.67444365,120.7658911,0.26563916,0.410101,2094,66,876,1817,1215,
1_1_LT05_119038_20001206_00003df56065d95e53df_0,Changshu1,1,928,1207,31.67444365,120.7658911,0.21594863,0.2993995,2272,66,1225,2058,1465,
1_1_LT05_119038_20001222_00003df56065d95e53df_0,Changshu1,1,756,956,31.67444365,120.7658911,0.40515074,0.4135861,2237,66,928,1573,947,
1_2_LE07_119038_20010115_00003df56065d95e53df_0,Changshu1,1,679,893,31.67444365,120.7658911,0.32360515,0.42777777,2313,66,927,1809,1182,
1_1_LT05_119038_20010208_00003df56065d95e53df_0,Changshu1,1,841,1007,31.67444365,120.7658911,0.4161206,0.40598568,2161,66,913,1493,891,
1_2_LE07_119038_20010216_00003df56065d95e53df_0,Changshu1,1,950,1036,31.67444365,120.7658911,0.3325062,0.34839925,2148,66,1038,1604,1076,
1_2_LE07_119038_20010304_00003df56065d95e53df_0,Changshu1,1,807,1096,31.67444365,120.7658911,0.32451034,0.36089203,2502,66,1175,1811,1276,
1_1_LT05_119038_20010312_00003df56065d95e53df_0,Changshu1,1,854,1071,31.67444365,120.7658911,0.38511154,0.39788446,2577,66,1110,1784,1144,
1_1_LT05_119038_20010413_00003df56065d95e53df_0,Changshu1,1,833,1242,31.67444365,120.7658911,0.5491991,0.48954895,3385,66,1160,1686,985,
1_2_LE07_119038_20010523_00003df56065d95e53df_0,Changshu1,1,694,1039,31.67444365,120.7658911,0.40329972,0.4629718,3062,66,1124,2117,1302,
1_1_LT05_119038_20010531_00003df56065d95e53df_0,Changshu1,1,1422,1639,31.67444365,120.7658911,0.21350811,0.25997692,2731,66,1604,2507,1770,
1_1_LT05_119038_20010616_00003df56065d95e53df_0,Changshu1,1,858,1139,31.67444365,120.7658911,0.47227925,0.33147633,2151,66,1080,1224,771,
1_1_LT05_119038_20010702_00003df56065d95e53df_0,Changshu1,1,668,927,31.67444365,120.7658911,0.46041232,0.47051746,2444,66,880,1372,903,
1_2_LE07_119038_20010726_00003df56065d95e53df_0,Changshu1,1,388,652,31.67444365,120.7658911,0.57751757,0.72762245,3368,66,531,1822,902,
1_1_LT05_119038_20010803_00003df56065d95e53df_0,Changshu1,1,569,785,31.67444365,120.7658911,0.6031883,0.7064893,3721,66,640,1698,921,
1_2_LE07_119038_20010928_00003df56065d95e53df_0,Changshu1,1,458,762,31.67444365,120.7658911,0.5149367,0.629186,2992,66,681,1728,958,
1_2_LE07_119038_20011030_00003df56065d95e53df_0,Changshu1,1,834,1061,31.67444365,120.7658911,0.28306264,0.3213859,2212,66,1136,1956,1236,
1_1_LT05_119038_20011107_00003df56065d95e53df_0,Changshu1,1,683,941,31.67444365,120.7658911,0.31684053,0.42012215,2209,66,902,1813,1146,
1_2_LE07_119038_20011115_00003df56065d95e53df_0,Changshu1,1,746,952,31.67444365,120.7658911,0.26200357,0.36561897,2129,66,989,1875,1245,
